GST ID,Start Time,Observed Time,KP Index,Source,Linked Events Activity ID
2015-07-04T13:00:00-GST-001,2015-07-04T13:00Z,2015-07-05T03:00Z,6,NOAA,2015-07-04T11:58:00-IPS-001;2015-07-04T11:59:00-HSS-001;2015-07-04T20:20:00-MPC-001;
2015-08-15T09:00:00-GST-001,2015-08-15T09:00Z,2015-08-15T12:00Z,7,NOAA,2015-08-12T15:12:00-CME-001;2015-08-13T00:30:00-CME-001;2015-08-15T07:43:00-IPS-001;2015-08-15T11:03:00-MPC-001;
2015-08-15T09:00:00-GST-001,2015-08-15T09:00Z,2015-08-15T15:00Z,6,NOAA,2015-08-12T15:12:00-CME-001;2015-08-13T00:30:00-CME-001;2015-08-15T07:43:00-IPS-001;2015-08-15T11:03:00-MPC-001;
2015-08-15T09:00:00-GST-001,2015-08-15T09:00Z,2015-08-16T09:00Z,6,NOAA,2015-08-12T15:12:00-CME-001;2015-08-13T00:30:00-CME-001;2015-08-15T07:43:00-IPS-001;2015-08-15T11:03:00-MPC-001;
2015-08-23T06:00:00-GST-001,2015-08-23T06:00Z,2015-08-23T09:00Z,6,NOAA,2015-08-23T07:15:00-HSS-001
2015-08-27T03:00:00-GST-001,2015-08-27T03:00Z,2015-08-27T06:00Z,6,NOAA,None
2015-08-27T03:00:00-GST-001,2015-08-27T03:00Z,2015-08-27T09:00Z,6,NOAA,None
2015-08-27T21:00:00-GST-001,2015-08-27T21:00Z,2015-08-28T00:00Z,6,NOAA,None
2015-08-27T21:00:00-GST-001,2015-08-27T21:00Z,2015-08-28T03:00Z,6,NOAA,None
2015-08-28T18:00:00-GST-001,2015-08-28T18:00Z,2015-08-28T21:00Z,6,NOAA,2015-08-28T16:00:00-HSS-001
2015-09-07T15:00:00-GST-001,2015-09-07T15:00Z,2015-09-07T18:00Z,6,NOAA,2015-09-07T12:22:00-HSS-001;2015-09-07T13:20:00-IPS-001;
2015-09-07T15:00:00-GST-001,2015-09-07T15:00Z,2015-09-07T21:00Z,6,NOAA,2015-09-07T12:22:00-HSS-001;2015-09-07T13:20:00-IPS-001;
2015-09-07T15:00:00-GST-001,2015-09-07T15:00Z,2015-09-08T00:00Z,6,NOAA,2015-09-07T12:22:00-HSS-001;2015-09-07T13:20:00-IPS-001;
2015-09-07T15:00:00-GST-001,2015-09-07T15:00Z,2015-09-08T03:00Z,6,NOAA,2015-09-07T12:22:00-HSS-001;2015-09-07T13:20:00-IPS-001;
2015-09-07T15:00:00-GST-001,2015-09-07T15:00Z,2015-09-08T06:00Z,6,NOAA,2015-09-07T12:22:00-HSS-001;2015-09-07T13:20:00-IPS-001;
